18/03/2024 13:49:04 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='1', fec_anu=getdate() WHERE conse='3000' AND tipo='2' AND ano='2024' # 
20/03/2024 11:38:02 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='31', fec_anu=getdate() WHERE conse='3003' AND tipo='2' AND ano='2024' # 
30/03/2024 12:11:26 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='144', fec_anu=getdate() WHERE conse='3006' AND tipo='1' AND ano='2024' # 
01/04/2024 14:18:37 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='213', fec_anu=getdate() WHERE conse='1295' AND tipo='2' AND ano='2024' # 
01/04/2024 14:44:18 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='50', fec_anu=getdate() WHERE conse='3013' AND tipo='2' AND ano='2024' # 
01/04/2024 14:44:22 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='50', fec_anu=getdate() WHERE conse='3014' AND tipo='2' AND ano='2024' # 
01/04/2024 15:19:49 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='234', fec_anu=getdate() WHERE conse='3027' AND tipo='2' AND ano='2024' # 
01/04/2024 16:29:38 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='235', fec_anu=getdate() WHERE conse='3035' AND tipo='2' AND ano='2024' # 
01/04/2024 16:38:15 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='235', fec_anu=getdate() WHERE conse='3037' AND tipo='2' AND ano='2024' # 
01/04/2024 17:32:58 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='233', fec_anu=getdate() WHERE conse='3018' AND tipo='2' AND ano='2024' # 
01/04/2024 17:35:15 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='265', fec_anu=getdate() WHERE conse='3036' AND tipo='2' AND ano='2024' # 
01/04/2024 17:35:18 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='265', fec_anu=getdate() WHERE conse='3033' AND tipo='2' AND ano='2024' # 
01/04/2024 17:43:17 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='265', fec_anu=getdate() WHERE conse='3043' AND tipo='2' AND ano='2024' # 
01/04/2024 18:27:41 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='237', fec_anu=getdate() WHERE conse='3049' AND tipo='2' AND ano='2024' # 
01/04/2024 19:17:48 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='225', fec_anu=getdate() WHERE conse='3047' AND tipo='1' AND ano='2024' # 
01/04/2024 20:02:32 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='258', fec_anu=getdate() WHERE conse='3061' AND tipo='2' AND ano='2024' # 
01/04/2024 20:02:38 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='258', fec_anu=getdate() WHERE conse='3062' AND tipo='2' AND ano='2024' # 
01/04/2024 20:11:58 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='258', fec_anu=getdate() WHERE conse='3066' AND tipo='2' AND ano='2024' # 
02/04/2024 08:44:40 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='218', fec_anu=getdate() WHERE conse='3077' AND tipo='1' AND ano='2024' # 
02/04/2024 09:30:20 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='260', fec_anu=getdate() WHERE conse='3068' AND tipo='2' AND ano='2024' # 
02/04/2024 09:43:24 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='218', fec_anu=getdate() WHERE conse='1271' AND tipo='2' AND ano='2024' # 
02/04/2024 09:44:15 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='218', fec_anu=getdate() WHERE conse='3078' AND tipo='2' AND ano='2024' # 
02/04/2024 09:57:46 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='260', fec_anu=getdate() WHERE conse='3079' AND tipo='2' AND ano='2024' # 
02/04/2024 11:42:40 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='68', fec_anu=getdate() WHERE conse='3086' AND tipo='2' AND ano='2024' # 
02/04/2024 11:48:27 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='255', fec_anu=getdate() WHERE conse='3072' AND tipo='2' AND ano='2024' # 
02/04/2024 12:40:31 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='222', fec_anu=getdate() WHERE conse='3022' AND tipo='2' AND ano='2024' # 
02/04/2024 12:58:51 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='22', fec_anu=getdate() WHERE conse='3097' AND tipo='2' AND ano='2024' # 
02/04/2024 14:17:49 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='22', fec_anu=getdate() WHERE conse='3095' AND tipo='2' AND ano='2024' # 
02/04/2024 14:33:17 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='21', fec_anu=getdate() WHERE conse='3011' AND tipo='2' AND ano='2024' # 
02/04/2024 14:40:20 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='22', fec_anu=getdate() WHERE conse='3115' AND tipo='2' AND ano='2024' # 
02/04/2024 14:51:25 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='20', fec_anu=getdate() WHERE conse='3113' AND tipo='2' AND ano='2024' # 
02/04/2024 14:55:53 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='68', fec_anu=getdate() WHERE conse='3087' AND tipo='2' AND ano='2024' # 
02/04/2024 15:04:06 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='20', fec_anu=getdate() WHERE conse='3123' AND tipo='2' AND ano='2024' # 
02/04/2024 15:13:22 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='20', fec_anu=getdate() WHERE conse='3122' AND tipo='2' AND ano='2024' # 
02/04/2024 15:13:31 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='20', fec_anu=getdate() WHERE conse='3120' AND tipo='1' AND ano='2024' # 
02/04/2024 16:18:52 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='217', fec_anu=getdate() WHERE conse='3133' AND tipo='2' AND ano='2024' # 
02/04/2024 16:54:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='205', fec_anu=getdate() WHERE conse='3131' AND tipo='2' AND ano='2024' # 
02/04/2024 17:06:40 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='205', fec_anu=getdate() WHERE conse='3135' AND tipo='2' AND ano='2024' # 
02/04/2024 17:26:13 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3142' AND tipo='2' AND ano='2024' # 
02/04/2024 17:39:01 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3146' AND tipo='2' AND ano='2024' # 
02/04/2024 18:15:31 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='27', fec_anu=getdate() WHERE conse='3150' AND tipo='2' AND ano='2024' # 
02/04/2024 18:19:23 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='31', fec_anu=getdate() WHERE conse='3153' AND tipo='2' AND ano='2024' # 
02/04/2024 19:55:32 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='31', fec_anu=getdate() WHERE conse='3159' AND tipo='2' AND ano='2024' # 
03/04/2024 08:23:49 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='252', fec_anu=getdate() WHERE conse='1232' AND tipo='2' AND ano='2024' # 
03/04/2024 08:33:07 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3167' AND tipo='2' AND ano='2024' # 
03/04/2024 09:05:49 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3171' AND tipo='1' AND ano='2024' # 
03/04/2024 09:35:06 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3149' AND tipo='2' AND ano='2024' # 
03/04/2024 09:35:44 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3139' AND tipo='2' AND ano='2024' # 
03/04/2024 09:36:16 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3148' AND tipo='2' AND ano='2024' # 
03/04/2024 09:40:21 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='26', fec_anu=getdate() WHERE conse='3175' AND tipo='2' AND ano='2024' # 
03/04/2024 10:41:57 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='64', fec_anu=getdate() WHERE conse='3129' AND tipo='2' AND ano='2024' # 
03/04/2024 11:28:50 am # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='25', fec_anu=getdate() WHERE conse='3094' AND tipo='2' AND ano='2024' # 
03/04/2024 12:30:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='5', fec_anu=getdate() WHERE conse='3197' AND tipo='2' AND ano='2024' # 
03/04/2024 13:25:19 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='23', fec_anu=getdate() WHERE conse='3201' AND tipo='2' AND ano='2024' # 
03/04/2024 15:25:59 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='35', fec_anu=getdate() WHERE conse='3090' AND tipo='2' AND ano='2024' # 
03/04/2024 15:35:02 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='34', fec_anu=getdate() WHERE conse='3206' AND tipo='1' AND ano='2024' # 
03/04/2024 17:21:38 pm # UPDATE cx_pla_inv  SET unidad='999', estado='X', uni_anu='213', fec_anu=getdate() WHERE conse='3024' AND tipo='2' AND ano='2024' # 
