25/11/2024 18:22:57 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '132', '20', '6', '20', '22') # ADM_SIGAR # 
25/11/2024 18:23:14 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '320', '62', '6', '62', '22') # ADM_SIGAR # 
25/11/2024 18:23:27 pm # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '136', '21', '6', '21', '22') # ADM_SIGAR # 
26/11/2024 09:09:07 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '133', '20', '6', '20', '22') # ADM_SIGAR # 
26/11/2024 09:09:33 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '134', '20', '6', '20', '22') # ADM_SIGAR # 
26/11/2024 09:09:53 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '135', '20', '6', '20', '22') # ADM_SIGAR # 
26/11/2024 09:10:31 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '124', '21', '6', '21', '22') # ADM_SIGAR # 
26/11/2024 09:10:51 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '138', '21', '6', '21', '22') # ADM_SIGAR # 
26/11/2024 09:11:12 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '139', '21', '6', '21', '22') # ADM_SIGAR # 
26/11/2024 09:11:27 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '321', '62', '6', '62', '22') # ADM_SIGAR # 
26/11/2024 09:11:45 am # INSERT INTO cx_org_cam (conse, usuario, batallon, dependencia, unidad, dependencia1, unidad1) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_org_cam), 'ADM_SIGAR', '322', '62', '6', '62', '22') # ADM_SIGAR # 
