16/05/2024 09:39:16 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1047', 'GGCAQ') # 
16/05/2024 09:43:24 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1048', 'GGCAQ') # 
16/05/2024 10:09:43 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1049', '') # 
16/05/2024 10:10:11 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1050', 'GGCAQ') # 
16/05/2024 10:11:31 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1051', '') # 
16/05/2024 10:30:20 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1052', '') # 
30/05/2024 09:42:28 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1053', '') # 
07/06/2024 08:06:37 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1054', '') # 
17/06/2024 07:29:28 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1055', '') # 
03/07/2024 07:21:39 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1056', '') # 
03/07/2024 07:44:57 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1057', '') # 
24/07/2024 07:06:42 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1058', '') # 
24/07/2024 11:01:47 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1059', '') # 
24/07/2024 11:57:02 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1060', 'GGCAQ') # 
05/09/2024 15:42:32 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1061', '') # 
24/09/2024 13:54:11 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1062', 'EGTUM') # 
24/09/2024 14:30:26 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1063', 'EGBUN') # 
24/09/2024 15:56:36 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1064', 'EGTUM') # 
30/10/2024 14:02:55 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1065', 'EGTUM') # 
05/11/2024 17:43:41 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1066', '') # 
16/01/2025 11:08:50 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1067', '') # 
24/01/2025 13:40:19 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1068', 'EGTUM') # 
24/01/2025 14:08:52 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1065', '') # 
16/04/2025 09:42:13 am # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1066', 'BAOPE 2') #  # 
18/06/2025 14:57:49 pm # INSERT INTO cx_org_bat (conse, nombre) VALUES ('1067', 'GAULA') #  # 
