20/12/2024 15:36:15 pm # UPDATE cx_org_dep SET nombre='BR01', unidad='8' WHERE dependencia='13' # 
26/02/2025 10:16:46 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('1', '74', 'BR19') # 
26/02/2025 10:20:57 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('4', '75', 'FUDRA9') # 
26/02/2025 10:28:23 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('6', '76', 'FUHER') # 
26/02/2025 10:33:25 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('7', '77', 'FUDRA10') # 
26/02/2025 10:42:02 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('8', '78', 'FUDRA5') # 
26/02/2025 10:47:56 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('9', '79', 'FUDRA6') # 
26/02/2025 10:55:10 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('10', '80', 'FUDRA7') # 
26/02/2025 11:02:05 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('11', '81', 'FUDRA8') # 
26/02/2025 11:13:17 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('23', '82', 'FUTOM') # 
26/02/2025 11:14:30 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('23', '83', 'FUDRA11') # 
26/02/2025 11:18:32 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('23', '84', 'FUDRA12') # 
26/02/2025 11:28:56 am # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('1', '85', 'COEUR') # 
03/03/2025 16:25:21 pm # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('1', '86', 'DIADI') # 
03/03/2025 16:25:41 pm # INSERT INTO cx_org_dep (unidad, dependencia, nombre) VALUES ('1', '87', 'DAICO') # 
