29/03/2024 11:07:16 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('766', 'SGA_CEC', '290', '3', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '1') # 
01/04/2024 07:47:06 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('767', 'SGR_BRIMI2', '28', '3', '2024', '55893947.22', '0', '0', '0', '55893947.22', '###', '###', '###', '1') # 
01/04/2024 07:57:43 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('768', 'SGR_CAIMI', '8', '3', '2024', '40209000', '0', '0', '0', '40209000', '###', '###', '###', '1') # 
01/04/2024 08:59:50 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('769', 'SGA_DIV6', '190', '3', '2024', '7277200', '0', '0', '0', '7277200', '###', '###', '###', '1') # 
01/04/2024 08:59:58 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('770', 'SGA_DIV6', '190', '3', '2024', '7277200', '0', '0', '0', '7277200', '###', '###', '###', '1') # 
01/04/2024 13:30:39 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('771', 'SGR_BRIMI1', '18', '3', '2024', '332025824', '0', '0', '0', '332025824', '###', '###', '###', '1') # 
01/04/2024 14:41:41 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('772', 'SGR_CACIM', '39', '3', '2024', '34701346.62', '0', '0', '0', '34701346.62', '###', '###', '###', '1') # 
01/04/2024 15:42:33 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('773', 'SGR_BRCIM1', '40', '3', '2024', '23760892.2', '0', '0', '0', '23760892.2', '###', '###', '###', '1') # 
18/04/2024 06:54:18 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('790', 'SGA_DIV7', '212', '3', '2024', '20022695', '0', '0', '0', '20022695', '###', '###', '###', '1') # 
29/04/2024 10:37:23 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('791', 'SGA_CEC', '290', '4', '2024', '0', '0', '0', '0', '0', '###', '###', '###', '1') # 
01/05/2024 09:15:36 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('792', 'SGA_DAVAA', '300', '4', '2024', '17954553', '0', '0', '0', '17954553', '###', '###', '###', '1') # 
01/05/2024 09:37:45 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('793', 'SGA_FUDRA2', '280', '4', '2024', '764800', '0', '0', '0', '764800', '###', '###', '###', '1') # 
01/05/2024 10:39:59 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('794', 'SGR_BRCIM1', '40', '4', '2024', '36567609.2', '0', '0', '0', '36567609.2', '###', '###', '###', '1') # 
01/05/2024 11:37:25 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('795', 'SGR_BRIMI2', '28', '4', '2024', '29310361', '0', '0', '0', '29310361', '###', '###', '###', '1') # 
01/05/2024 18:48:45 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('796', 'SGA_DIV5', '157', '4', '2024', '9282058', '0', '0', '0', '9282058', '###', '###', '###', '1') # 
01/05/2024 20:23:49 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('797', 'SGR_CAIMI', '8', '4', '2024', '25219000', '0', '0', '0', '25219000', '###', '###', '###', '1') # 
01/05/2024 23:04:19 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('798', 'SGA_DIV8', '248', '4', '2024', '10194046.87', '0', '0', '0', '10194046.87', '###', '###', '###', '1') # 
02/05/2024 07:16:48 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('799', 'OC8_CACIM', '39', '4', '2024', '29618108', '0', '0', '0', '29618108', '###', '###', '###', '1') # 
02/05/2024 07:24:08 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('800', 'SGR_BRIMI1', '18', '4', '2024', '2005511', '0', '0', '0', '2005511', '###', '###', '###', '1') # 
02/05/2024 07:58:05 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('801', 'SGA_DIV2', '87', '4', '2024', '11560722', '0', '0', '0', '11560722', '###', '###', '###', '1') # 
02/05/2024 08:18:56 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('802', 'SGR_BRCIM2', '56', '4', '2024', '7375669', '0', '0', '0', '7375669', '###', '###', '###', '1') # 
02/05/2024 08:34:40 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('803', 'SGA_DIV6', '190', '4', '2024', '253708', '0', '0', '0', '253708', '###', '###', '###', '1') # 
02/05/2024 09:47:22 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('804', 'SGA_DIV4', '141', '4', '2024', '6937817', '0', '0', '0', '6937817', '###', '###', '###', '1') # 
02/05/2024 18:20:42 pm # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('805', 'SGA_DIV3', '116', '4', '2024', '1861943.21', '0', '0', '0', '1861943.21', '###', '###', '###', '1') # 
15/05/2024 09:36:59 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('806', 'STE_DIADI', '1', '1', '2024', '18216684.62', '0', '0', '0', '18216684.62', '###', '###', '###', '2') # 
23/05/2024 01:20:55 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('807', 'SGA_CEO', '294', '4', '2023', '38000', '0', '0', '0', '38000', '###', '###', '###', '1') # 
23/05/2024 01:33:20 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('808', 'SGA_CEO', '294', '6', '2023', '2782050', '877800', '0', '0', '3659850', '###', '2023/06/20|#0|#EMBARGO ALCALDIA DE BELLO ANTIOQUIA|#877,800.00|', '###', '1') # 
23/05/2024 01:36:52 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('809', 'SGA_CEO', '294', '7', '2023', '11842200', '877800', '0', '0', '12720000', '###', '2023/06/20|#0|#EMBARGO ALCALDIA BELLO|#877,800.00|', '###', '1') # 
23/05/2024 01:41:41 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('810', 'SGA_CEO', '294', '8', '2023', '200', '877800', '0', '0', '878000', '###', '2023/06/20|#0|#EMBARGO ALCALDIA BELLO|#877,800.00|', '###', '1') # 
23/05/2024 01:43:45 am # INSERT INTO cx_con_ban (conse, usuario, unidad, periodo, ano, saldo, debito, credito, cheques, libros, cheques1, debito1, credito1, cuenta) VALUES ('811', 'SGA_CEO', '294', '9', '2023', '89900', '877800', '0', '0', '967700', '###', '2023/06/20|#0|#EMBARGO ALCALDIA BELLO ANTIOQUIA|#877,800.00|', '###', '1') # 
