13/03/2024 18:08:13 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 18:09:54 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 18:10:46 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 18:24:03 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 18:27:09 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:00:53 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='55' OR usuario LIKE '%BACCE%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:04:03 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:04:24 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:06:56 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:10:00 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='87' OR usuario LIKE '%DIV02%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:10:15 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:11:55 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:24:02 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:24:11 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='87' OR usuario LIKE '%DIV02%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:24:43 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='212' OR usuario LIKE '%DIV07%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:24:58 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='28' OR usuario LIKE '%BRIMI2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:26:29 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:27:01 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:27:13 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='18' OR usuario LIKE '%BRIMI1%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:29:36 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 19:30:09 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='87' OR usuario LIKE '%DIV02%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 13:50:32 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 13:51:13 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='87' OR usuario LIKE '%DIV02%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 13:51:47 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 14:44:44 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 16:32:21 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='142' OR usuario LIKE '%BR07%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 16:33:10 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='141' OR usuario LIKE '%DIV04%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 16:34:30 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='36' OR usuario LIKE '%BAIMI8%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 16:47:13 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='28' OR usuario LIKE '%BRIMI2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 16:51:00 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='28' OR usuario LIKE '%BRIMI2%') AND admin>0 ORDER BY unidad, admin, conse # 
13/03/2024 17:08:12 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
14/03/2024 10:57:59 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
14/03/2024 11:02:04 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
14/03/2024 10:15:46 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 08:38:05 am # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:09:00 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:13:23 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:14:53 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:15:46 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:39:09 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:39:31 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 15:44:59 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='2' OR usuario LIKE '%DIADI%') AND admin>0 ORDER BY unidad, admin, conse # 
15/03/2024 16:48:22 pm # SELECT * FROM cx_usu_web WHERE 1=1 AND (unidad='1' OR usuario LIKE '%CEDE2%') AND admin>0 ORDER BY unidad, admin, conse # 
