26/03/2024 09:14:25 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3000', '2024', '4') # TAD_DIPDA # 
26/03/2024 17:33:43 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3001', '2024', '5') # TAD_DIPEI # 
27/03/2024 07:53:59 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3000', '2024', '4') # TAD_DIPDA # 
01/04/2024 07:41:00 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3007', '2024', '28') # OB2_BRIMI2 # 
01/04/2024 09:24:38 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3010', '2024', '220') # SGA_BAEEV4 # 
01/04/2024 09:35:48 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3009', '2024', '212') # SGA_DIV7 # 
01/04/2024 09:52:24 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3008', '2024', '216') # SGA_BIPEB # 
01/04/2024 10:48:28 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3012', '2024', '232') # SGA_BR15 # 
01/04/2024 10:54:38 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3013', '2024', '50') # SAT_CPBTR1 # 
01/04/2024 11:01:05 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3014', '2024', '50') # SAT_CPBTR1 # 
01/04/2024 11:09:02 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3014', '2024', '50') # SAT_CPBTR1 # 
01/04/2024 11:28:19 am # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3015', '2024', '246') # SGA_BATOT25 # 
01/04/2024 13:09:12 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3017', '2024', '144') # SGA_BIGOH # 
01/04/2024 13:13:14 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3017', '2024', '144') # SGA_BIGOH # 
01/04/2024 14:29:54 pm # INSERT INTO cx_tra_tev (conse, ano, unidad) VALUES ('3020', '2024', '247') # SGA_BATOT26 # 
