03/04/2024 17:09:00 pm # 2024-04-03 17:09:00 # 20240503 17:09:00 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'JID991', '20240503 17:09:00', 'A') # DRODRIGUE_DIADI # 
04/04/2024 11:08:01 am # 2024-04-04 11:08:01 # 20240504 11:08:01 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIY805', '20240504 11:08:01', 'A') # DRODRIGUE_DIADI # 
09/04/2024 11:49:26 am # 2024-04-09 11:49:26 # 20240509 11:49:26 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ING_SIGAR', 'DBD032', '20240509 11:49:26', 'A') # ING_SIGAR # 
10/04/2024 15:12:33 pm # 2024-04-10 15:12:33 # 20240510 15:12:33 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'BWI106', '20240510 15:12:33', 'A') # DRODRIGUE_DIADI # 
15/04/2024 15:23:42 pm # 2024-04-15 15:23:42 # 20240515 15:23:42 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX944', '20240515 15:23:42', 'A') # DRODRIGUE_DIADI # 
16/04/2024 17:02:46 pm # 2024-04-16 17:02:46 # 20240516 17:02:46 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'DIX937', '20240516 17:02:46', 'A') # TRANSP2_DIADI # 
22/04/2024 10:54:57 am # 2024-04-22 10:54:57 # 20240522 10:54:57 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'LTC073', '20240522 10:54:57', 'A') # TRANSP2_DIADI # 
23/04/2024 11:15:38 am # 2024-04-23 11:15:38 # 20240523 11:15:38 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'ING_SIGAR', 'RRI05D', '20240523 11:15:38', 'A') # ING_SIGAR # 
24/04/2024 15:22:38 pm # 2024-04-24 15:22:38 # 20240524 15:22:38 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'EAN029', '20240524 15:22:38', 'A') # TRANSP2_DIADI # 
26/04/2024 11:46:37 am # 2024-04-26 11:46:37 # 20240526 11:46:37 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'DRODRIGUE_DIADI', 'DIX945', '20240526 11:46:37', 'A') # DRODRIGUE_DIADI # 
14/05/2024 09:53:47 am # 2024-05-14 09:53:47 # 20240613 09:53:47 # INSERT INTO cx_tra_aut (conse, usuario, placa, autoriza, estado) VALUES ((SELECT isnull(max(conse),0)+1 FROM cx_tra_aut), 'TRANSP2_DIADI', 'FDZ046', '20240613 09:53:47', 'A') # TRANSP2_DIADI # 
